CUST_ID,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY
C10001,0.166667,0
C10002,0,0.25
C10003,1,0
C10004,0.083333,0.083333
C10005,0.083333,0
C10006,0.666667,0
C10007,1,0
C10008,1,0
C10009,0.333333,0
C10010,0.166667,0
C10011,1,0
C10012,0.25,0
C10013,1,0
C10014,0.75,0
C10015,0,0.083333
C10016,0.5,0.166667
C10017,0,0.25
C10018,0.416667,0
C10019,0.666667,0
C10020,1,0
C10021,0.666667,0
C10022,1,0.333333
C10023,1,0
C10024,1,0.333333
C10025,0,0.363636
C10026,1,0
C10027,0.166667,0.25
C10028,1,0
C10029,0.666667,0.833333
C10030,0.416667,0
C10031,1,0.5
C10032,1,0.166667
C10033,0.083333,0.166667
C10034,0.916667,0
C10035,1,0
C10036,0,0.083333
C10037,0,0.727273
C10038,0.75,0.333333
C10039,0.083333,0.333333
C10040,0.083333,0.333333
C10041,0,0.25
C10043,0.583333,0.25
C10044,0.083333,0
C10045,0,0.083333
C10046,1,0
C10047,0.333333,0.166667
C10048,0.375,0.125
C10049,0,0.5
C10050,1,0
C10051,0.166667,0.083333
C10052,0.625,0.875
C10053,0.666667,0
C10054,0,0.25
C10055,0.666667,0.111111
C10056,0.666667,0
C10057,0.25,0
C10058,0.25,0.416667
C10059,0.916667,0
C10060,0,0.181818
C10061,0.416667,0.333333
C10062,0.166667,0
C10063,0.083333,0
C10064,0,0.545455
C10065,0.083333,0
C10067,1,0.083333
C10068,0.583333,0
C10069,0,0.125
C10070,0,0.416667
C10071,0.666667,0
C10072,0.333333,0
C10073,0.916667,0.333333
C10074,0.666667,0.833333
C10075,0,0.125
C10077,0.5,0
C10078,0.272727,0
C10079,0.833333,0
C10080,1,0
C10081,0.75,0
C10082,0,0.083333
C10083,0.583333,0.416667
C10084,0.666667,0
C10085,0,0.166667
C10086,0.416667,0
C10087,0.5,0
C10088,1,0.083333
C10089,1,0
C10090,1,0.75
C10092,1,0.75
C10093,0.083333,0.083333
C10094,0,0.416667
C10095,1,0.083333
C10096,0.909091,0.545455
C10097,0.083333,0.083333
C10098,0.166667,0
C10099,0.25,0
C10100,0,0.083333
C10101,0.666667,0
C10102,0,0.5
C10103,0.25,0
C10104,0,0.142857
C10105,0.111111,0
C10106,1,0
C10107,0.916667,0
C10108,1,0
C10109,0,0.083333
C10110,0.25,0.333333
C10111,1,0
C10112,0,0.583333
C10113,0.666667,0.083333
C10114,1,0.583333
C10115,0.916667,0
C10116,0,0.083333
C10117,1,0.333333
C10118,0,0.25
C10119,0.666667,0
C10120,1,0
C10121,0.583333,0
C10122,0,0.25
C10123,0.166667,0
C10124,0,0.333333
C10125,1,0.5
C10126,0.25,0
C10127,1,0
C10128,0,0.166667
C10130,0,0.333333
C10131,0.916667,0
C10132,0,0.125
C10133,0.833333,0
C10134,0.083333,0.5
C10135,0,0.083333
C10136,0.25,0.083333
C10137,0.833333,0
C10138,0.583333,0
C10139,0.083333,0.666667
C10140,0.916667,0
C10141,0.5,0
C10142,1,0
C10143,0.916667,0.25
C10144,1,0
C10145,1,0.083333
C10146,0.333333,0
C10147,0,0.166667
C10148,0,0.5
C10149,0.666667,0
C10150,1,0
C10151,0.083333,0
C10152,0.833333,0
C10153,0.083333,0.083333
C10154,0.5,0
C10155,0.833333,0.083333
C10156,0.583333,0.166667
C10157,1,0
C10158,1,0
C10159,1,0.75
C10160,1,0
C10161,0.333333,0
C10162,1,0.75
C10163,0,0.166667
C10164,1,0
C10165,0.083333,0.083333
C10166,0,0.416667
C10167,0,0.083333
C10168,1,0
C10169,0.25,0
C10170,1,0
C10171,0,0.083333
C10172,1,0
C10173,0.916667,0.083333
C10174,1,0
C10175,0.666667,0
C10176,0,0.222222
C10177,1,0.583333
C10178,0.25,0
C10179,0,0.285714
C10180,1,0.166667
C10181,0,0.166667
C10182,0.833333,0.25
C10183,0,0.583333
C10184,1,0
C10185,0.416667,0
C10186,1,0
C10187,0.083333,0
C10188,0.25,0.75
C10189,0.083333,0
C10190,0.666667,0
C10191,0.833333,0
C10192,0.166667,0.25
C10193,1,0
C10194,0.416667,0.083333
C10196,0.333333,0.083333
C10197,0.25,0
C10198,0.083333,0
C10199,0.083333,0.083333
C10200,0.5,0
C10201,0.5,0
C10202,0.916667,0
C10203,0.75,0
C10204,1,0
C10205,0.166667,0
C10206,0.166667,0.75
C10207,0.166667,0
C10208,0.5,0.333333
C10209,0.833333,0
C10211,0.333333,0.083333
C10212,1,0
C10213,0.083333,0
C10214,0.166667,0.416667
C10215,0.333333,0.25
C10216,0.833333,0.416667
C10217,0.25,0
C10218,0.916667,0.75
C10219,0.5,0
C10220,0,0.083333
C10221,0.75,0
C10222,0.25,0
C10223,0.166667,0
C10224,1,0.083333
C10226,0.333333,0
C10227,0.5,0.833333
C10228,1,0.083333
C10229,1,0
C10230,1,0
C10231,0.142857,0
C10232,1,0
C10233,0.333333,0
C10234,0.083333,0
C10235,1,0
C10236,0.833333,0
C10237,0,0.111111
C10238,0.75,0
C10239,0.75,0
C10240,1,0
C10241,0.916667,0.083333
C10242,0.083333,0
C10243,0.833333,0.083333
C10244,1,0
C10245,0.5,0.25
C10246,0.333333,0.083333
C10247,0.5,0.166667
C10248,0.583333,0
C10249,0.25,0.25
C10250,0.5,0
C10251,1,0
C10252,0.090909,0
C10253,1,0
C10254,0.25,0
C10255,1,0
C10256,1,0
C10257,1,0.416667
C10258,1,0
C10259,0.25,0.333333
C10260,1,0
C10261,0.416667,0
C10262,1,0
C10263,0,0.166667
C10265,0.363636,0
C10266,0.083333,0
C10267,0.833333,0.25
C10269,1,0
C10270,0,0.166667
C10271,0.166667,0
C10272,1,0.083333
C10273,1,0.083333
C10274,1,0.5
C10275,0.5,0
C10276,1,0
C10277,1,0
C10278,0.916667,0
C10279,0.166667,0
C10280,0.916667,0.083333
C10281,1,0.083333
C10282,0.166667,0.416667
C10283,1,0
C10284,1,0
C10285,0.916667,0.333333
C10286,0.083333,0
C10287,0.25,0.083333
C10288,0.083333,0
C10289,0.75,0
C10290,1,0.083333
C10291,0.5,0
C10292,1,0.083333
C10293,0.583333,0
C10294,1,0
C10295,0,0.083333
C10296,0,0.666667
C10297,0,0.083333
C10298,0.583333,0.25
C10299,0.5,0
C10300,0,0.166667
C10301,1,0
C10302,0.416667,0.166667
C10303,0.166667,0
C10304,0,0.583333
C10305,1,0
C10306,0.75,0
C10307,0.166667,0.25
C10308,0,0.083333
C10309,1,0
C10310,0.666667,0.083333
C10311,0.25,0.166667
C10312,1,0
C10313,0,0.083333
C10314,0.583333,0
C10315,0,0.416667
C10316,1,0
C10317,1,0
C10318,1,0
C10319,0,0.181818
C10320,0.666667,0
C10321,0.916667,0
C10322,1,0.25
C10323,1,0
C10324,0,0.333333
C10325,0,0.166667
C10326,0,0.363636
C10327,0,0.142857
C10328,0.833333,0
C10329,1,0
C10330,0.833333,0
C10331,0.083333,0.416667
C10332,0.75,0.333333
C10333,0,0.333333
C10334,0.166667,0
C10335,0,0.666667
C10336,1,0
C10337,0.666667,0
C10338,1,0.25
C10339,0.083333,0.333333
C10340,1,0
C10341,0,0.166667
C10342,0.75,0
C10343,1,0
C10344,1,0
C10345,0,0.909091
C10346,0.25,0.166667
C10347,0.166667,0
C10348,0.916667,0
C10349,0.333333,0
C10350,1,0
C10351,0.166667,0.166667
C10352,0.333333,0.416667
C10353,0.166667,0.083333
C10354,0.1,0
C10355,1,0
C10356,0.5,0
C10357,1,0
C10358,1,0
C10359,1,0.75
C10360,0.666667,0
C10361,0,0.083333
C10362,1,0
C10364,0.5,0.5
C10365,0.083333,0
C10366,0.166667,0
C10367,1,0
C10368,1,0
C10369,0.333333,0.333333
C10370,0,0.083333
C10371,0,0.083333
C10372,0.666667,0
C10373,0,0.25
C10374,0.625,0
C10375,0.916667,0.25
C10376,0.083333,0.25
C10377,1,0
C10378,0.083333,0
C10379,1,0
C10380,0,0.5
C10381,0,0.25
C10382,1,0
C10383,1,0.166667
C10384,0,0.083333
C10385,1,0
C10386,1,0
C10387,0.166667,0
C10388,0.916667,0
C10389,0.583333,0
C10390,0.166667,0
C10391,0,0.166667
C10392,0.166667,0.166667
C10393,0,0.083333
C10395,0.25,0.333333
C10396,0.083333,0
C10397,1,0
C10398,0.1,0.2
C10399,0.083333,0
C10400,0,0.25
C10402,1,0
C10403,0.583333,0
C10404,0.166667,0
C10405,1,0
C10406,0.25,0.083333
C10407,1,0.166667
C10408,0.5,0
C10409,0,0.083333
C10410,0.666667,0
C10411,0.333333,0.166667
C10412,0,0.25
C10413,1,0.333333
C10414,0.75,0
C10415,0.916667,0
C10416,0.875,0.625
C10417,1,0
C10419,0,0.25
C10420,0.416667,0
C10421,0.333333,0
C10422,0,0.083333
C10423,0,0.333333
C10424,0.25,0
C10425,0,0.090909
C10426,1,0
C10427,0.125,0
C10428,0.083333,0.25
C10429,1,0
C10430,1,0
C10431,0.166667,0
C10432,1,0
C10433,0.583333,0
C10434,1,0.25
C10435,0.5,0.166667
C10436,0,0.25
C10437,0,0.166667
C10438,0.916667,0
C10439,0.833333,0.333333
C10441,0.5,0.083333
C10442,0,0.083333
C10443,0,0.090909
C10444,0.083333,0.666667
C10445,0,0.416667
C10446,0,0.090909
C10447,1,0.666667
C10448,0.25,0
C10449,0,0.083333
C10450,0,0.083333
C10451,0.083333,0.333333
C10452,0.916667,0.25
C10453,1,0.083333
C10454,0,0.083333
C10455,1,0.25
C10456,0.083333,0
C10457,0,0.4
C10458,0,0.25
C10459,0.818182,0
C10460,0.75,0
C10461,0.5,0.083333
C10462,1,0
C10463,0.25,0
C10466,0,0.083333
C10467,0.5,0
C10468,1,0
C10469,0.75,0
C10470,0.75,0.166667
C10471,0.833333,1
C10472,0.875,0.25
C10473,0.636364,0
C10474,1,0
C10475,0.666667,0
C10476,0.333333,0.083333
C10477,0.333333,0.083333
C10478,0.916667,0
C10480,1,0
C10481,0.833333,0
C10482,1,0.083333
C10483,0,0.083333
C10484,0,0.583333
C10485,1,0
C10486,1,0.083333
C10487,1,0.333333
C10488,0.166667,0
C10489,0.166667,0.583333
C10490,0,0.416667
C10491,1,0
C10492,0,0.083333
C10493,0.333333,0
C10494,0.166667,0
C10495,0.833333,0.166667
C10497,1,0
C10498,0,0.181818
C10501,0.083333,0
C10502,0.5,0
C10503,0.916667,0
C10504,0,0.25
C10505,0,0.333333
C10506,1,0
C10507,1,0
C10508,0,0.5
C10509,1,0
C10510,0.166667,0.333333
C10511,0.75,0
C10512,1,0.25
C10513,0,0.333333
C10514,1,0
C10515,0.25,0.083333
C10516,1,0.166667
C10517,0.25,0.666667
C10518,0,0.25
C10519,0,0.583333
C10520,0.416667,0
C10521,0.833333,0
C10522,0.916667,0.083333
C10523,0.833333,0
C10524,0.583333,0
C10525,1,0
C10526,0.833333,0
C10527,0.583333,0
C10528,0.833333,0
C10529,1,0
C10530,0,0.166667
C10532,1,0.25
C10533,0.833333,0
C10534,1,0
C10535,0.083333,0.5
C10536,0.75,0.166667
C10537,1,0
C10538,1,0
C10539,0,0.25
C10540,0,0.083333
C10542,1,0
C10543,0.583333,0
C10544,0.5,1
C10545,1,0
C10546,0,0.166667
C10547,0.916667,0
C10548,1,0
C10549,0,0.25
C10550,0.2,0.8
C10551,0.083333,0.166667
C10552,0.916667,0
C10553,1,0.111111
C10554,0.833333,0
C10555,1,0.083333
C10556,0.416667,0
C10557,0.583333,0.166667
C10558,1,0
C10559,0.083333,0
C10560,1,0
C10561,0.666667,0.75
C10562,0.333333,0
C10563,1,0.75
C10564,1,0.083333
C10565,0.25,0
